doc_id,orth,sparse,lexicon,baseline_density,fullword_suggestions,length_gold,len_baseline_transcriptions,correct_partialword_suggestions
doc0,ngaleng wanjh ngalbininjkobeng nuye bimkang konhda [and] wurdurd,ng a l ɛ ng w a ɲ ng a t i n ɲ k ɔ n b ɛ ng ɹ i b i m ka ng k ɔ n ʔ t a m a n w u ʈ ɳ,"['ng', 'ng', 'ng', 'n', 'n', 'ng', 'ka', 'ng', 'n', 'n']",0.2807017543859649,"{'bimkang', 'ngaleng'}",57,16,"{'bimkang', 'bimka', 'kang', 'ngaleng', 'kan'}"
doc1,konhda labbarlno,k ɔ n ʔ t a l ɑ b a l n u,"['n', 'n']",0.13333333333333333,set(),15,2,set()
doc2,balanda bedberre,balanda b ɛ t b ɛ r ɛ,['balanda'],0.4666666666666667,set(),15,7,set()
doc3,ngarradj ngarradj kawokdi bu kobahkohbanj kabirriyime,ng a r i j ng a r a ɲ ka wok b i bu k ɔ b ɔ b ɔ t kabirri yime,"['ng', 'ng', 'ka', 'wok', 'bu', 'kabirri', 'yime']",0.4583333333333333,"{'kawokdi', 'kabirriyime'}",48,22,"{'kawokdi', 'kabirriyime', 'wokdi'}"
doc4,bikbik or nemekke,b i k b ɛ k ɔ m k n ɛ m ɛ k ɛ,['n'],0.06666666666666667,set(),15,1,set()
doc5,kure beh balanda kamak rowk minj njalemak,k u re b ɛ balanda ŋ ka m ɔ k u m i j a l ɛ m a k,"['re', 'balanda', 'ka']",0.3142857142857143,set(),35,11,{'kama'}
doc6,namekke boyenka konhda beh ngarribidbun,n ɛ m ɛ r ɛ b w ɛ ŋ ka k ɔ t a b ɛ ngarri b i t b u n,"['n', 'ka', 'ngarri', 'n']",0.2857142857142857,{'ngarribidbun'},35,10,"{'bidbun', 'na', 'name', 'bun', 'ngarribidbu', 'ngarribidbun'}"
doc7,kore kabirribolkwarrewon labbarlno,kore kabirri b u l k w ɔ r w ɔ n l a b a l r n ɔ,"['kore', 'kabirri', 'n', 'n']",0.40625,set(),32,13,{'won'}
doc8,konhda kore helicopter ngadjolohyime nawu balandaken kunwok,k ɔ n ʔ t a kore a l ɛ b ɑ ɹ t ɛ ng a ɟ a l ɛ yime n a w u balanda ɟ ɛ n kunwok,"['n', 'kore', 'ng', 'yime', 'n', 'balanda', 'n']",0.37735849056603776,"{'nawu', 'balandaken'}",53,20,"{'nawu', 'ken', 'na', 'balandaken'}"
doc9,ngad karriyime yakngarra karlba yakngarra ngulmeng,k ɔ ng a r ka t i yime j ɛ k ng a t a ka r b ɔ ɟ a k ng a r a ng u l u m ɛ ng,"['ng', 'ka', 'yime', 'ng', 'ka', 'ng', 'ng', 'ng']",0.4,"{'ngad', 'karlba'}",45,18,"{'ngad', 'ngu', 'karlba'}"
